,Date,Close,Price
3669,2014-01-29,53635.0,2.4352
3670,2014-01-30,54593.0,2.4118
3671,2014-01-31,54786.0,2.4127
3672,2014-02-03,55744.0,2.4402
3673,2014-02-04,55974.0,2.4055
3674,2014-02-05,55717.0,2.3986
3675,2014-02-06,55638.0,2.3825
3676,2014-02-07,57013.0,2.3802
3677,2014-02-10,57634.0,2.409
3678,2014-02-11,57983.0,2.4005
3679,2014-02-12,57420.0,2.4255
3680,2014-02-13,57978.0,2.3938
3681,2014-02-14,57821.0,2.3891
3682,2014-02-17,57696.0,2.39
3683,2014-02-18,57119.0,2.3955
3684,2014-02-19,56878.0,2.3942
3685,2014-02-20,55829.0,2.3704
3686,2014-02-21,55903.0,2.3456
3687,2014-02-24,56616.0,2.3392
3688,2014-02-25,56202.0,2.3411
3689,2014-02-26,56487.0,2.3497
3690,2014-02-27,56188.0,2.322
3691,2014-02-28,55573.0,2.3384
3692,2014-03-03,56613.0,2.3441
3693,2014-03-04,56442.0,2.3412
3694,2014-03-05,55581.0,2.3181
3695,2014-03-06,55780.0,2.3232
3696,2014-03-07,56964.0,2.3406
3697,2014-03-10,57561.0,2.3498
3698,2014-03-11,58449.0,2.3642
3699,2014-03-12,58878.0,2.3525
3700,2014-03-13,58992.0,2.3641
3701,2014-03-14,58407.0,2.3465
